,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,Slavyanka,42.8633,131.3847,40.89,89,47,7.16,RU,1587060000
290,Todos Santos,23.45,-110.2167,77.05,36,92,4.97,MX,1587060000
291,Xichang,27.8964,102.2634,61.56,36,53,3.18,CN,1587060000
292,Jijiga,9.35,42.8,69.55,48,94,4.9,ET,1587060000
293,Khabez,44.0434,41.772,39.94,63,91,2.86,RU,1587060000
294,Nchelenge,-9.3451,28.734,74.84,60,60,2.1,ZM,1587060000
295,Digapahandi,19.3667,84.5833,82.69,47,26,7.25,IN,1587060000
296,Fort Nelson,58.8053,-122.7002,48.63,52,65,2.04,CA,1587060000
297,Cuiluan,47.72,128.648,40.82,54,84,1.28,CN,1587060000
298,Nemuro,43.3236,145.575,31.64,93,1,8.72,JP,1587060000
299,Beisfjord,68.3751,17.5988,29.7,94,80,3.8,NO,1587060000
300,Linqiong,30.4159,103.4609,73.27,49,99,4.16,CN,1587060000
301,Hasaki,35.7333,140.8333,51.39,67,100,14.16,JP,1587060000
302,Kutum,14.2,24.6667,70.18,10,0,10.04,SD,1587060000
303,Kawambwa,-9.7915,29.0791,66.78,64,51,4.25,ZM,1587060000
304,Tiarei,-17.5333,-149.3333,82.54,71,17,6.6,PF,1587060000
305,Kupang,-10.1667,123.5833,81.59,79,91,8.99,ID,1587060000
306,Traralgon,-38.1833,146.5333,52.07,65,26,8.79,AU,1587060000
307,Madang,-5.2246,145.7966,78.48,80,74,3.2,PG,1587060000
308,Coos Bay,43.3665,-124.2179,59.38,43,12,13.78,US,1587060000
309,Tshikapa,-6.4167,20.8,77.14,71,99,1.41,CD,1587060000
310,Weru,-6.711,108.5037,78.75,80,19,2.68,ID,1587060000
311,Ati,13.2154,18.3353,87.8,9,0,9.62,TD,1587060000
312,Laas,46.6166,10.7002,48.81,38,100,1.36,IT,1587060000
313,Vanimo,-2.6741,141.3028,79.88,77,25,1.54,PG,1587060000
314,Evans,33.5337,-82.1307,69.13,24,15,5.88,US,1587060000
315,Karlskrona,56.1616,15.5866,53.19,52,21,15.68,SE,1587060000
316,Narsaq,60.9167,-46.05,37.17,89,100,3.29,GL,1587060000
317,Port Antonio,18.18,-76.4612,87.51,54,3,10.65,JM,1587060000
318,Raudeberg,61.9875,5.1352,39.74,75,84,13.15,NO,1587060000
319,Rocha,-34.4833,-54.3333,67.77,72,46,13.11,UY,1587060000
320,Kailua,21.4022,-157.7394,74.41,72,3,17.81,US,1587060000
321,Jianhu,29.9799,120.5712,67.48,67,27,6.26,CN,1587060000
322,Alekseyevka,50.6309,38.6903,48.83,73,93,22.84,RU,1587060000
323,Mizque,-17.941,-65.3402,65.93,31,83,7.14,BO,1587060000
324,Boa Vista,2.8197,-60.6733,94.87,33,27,4.94,BR,1587060000
325,Aklavik,68.2191,-135.0107,36.09,98,100,9.33,CA,1587060000
326,Kitimat,54.0524,-128.6534,58.24,49,0,2.17,CA,1587060000
327,Te Anau,-45.4167,167.7167,46.62,80,100,2.35,NZ,1587060000
328,Tsimmerbude,54.675,20.1347,46.35,81,23,9.48,RU,1587060000
329,Birakan,49.0167,131.7,36.36,63,0,1.39,RU,1587060000
330,Sørland,67.667,12.6934,37.44,78,100,28.99,NO,1587060000
331,Visnes,59.3556,5.2242,42.6,70,4,19.82,NO,1587060000
332,Victor Harbor,-35.5667,138.6167,55.15,73,17,9.51,AU,1587060000
333,Kawardha,22.0167,81.25,86.36,19,30,5.23,IN,1587060000
334,Paamiut,61.994,-49.6678,33.55,87,83,26.06,GL,1587060000
335,Kenai,60.5544,-151.2583,38.46,96,100,4.97,US,1587060000
336,Kahului,20.8947,-156.47,74.41,72,25,20.49,US,1587060000
337,Cabo San Lucas,22.8909,-109.9124,75.25,50,100,3.31,MX,1587060000
338,Wankyi,7.7392,-2.1046,89.4,39,2,2.91,GH,1587060000
339,Tautira,-17.7333,-149.15,82.47,71,8,5.57,PF,1587060000
340,Buin,-33.7333,-70.75,81.57,16,0,7.0,CL,1587060000
341,Khovd,48.0056,91.6419,44.94,38,92,4.12,MN,1587060000
342,Charleville-Mézières,49.7667,4.7167,60.6,72,39,3.53,FR,1587060000
343,NEDJO,9.5046,35.5019,69.57,18,0,2.77,ET,1587060000
344,Ordzhonīkīdze,52.4411,61.7408,50.81,43,100,18.41,KZ,1587060000
345,Amapá,1.0,-52.0,89.24,53,100,3.29,BR,1587060000
346,Teya,60.3778,92.6267,31.95,88,5,2.68,RU,1587060000
347,Thompson,55.7435,-97.8558,25.39,92,50,9.66,CA,1587060000
348,Alegrete,-29.7831,-55.7919,72.61,29,0,6.82,BR,1587060000
349,Howard,39.2504,-76.933,49.91,45,47,14.54,US,1587060000
350,Vostok,46.4856,135.8833,29.75,69,0,4.23,RU,1587060000
351,Talnakh,69.4865,88.3972,17.98,90,77,5.46,RU,1587060000
352,Los Negros,-17.7333,-63.4333,85.53,23,10,9.17,BO,1587060000
353,Gmina Lwówek Śląski,51.1107,15.5858,55.49,70,96,5.1,PL,1587060000
354,Hirara,24.8,125.2833,69.96,68,0,12.66,JP,1587060000
355,Mutoko,-17.397,32.2268,68.2,52,18,5.21,ZW,1587060000
356,Leshukonskoye,64.8989,45.7622,33.15,90,92,11.34,RU,1587060000
357,Taoudenni,22.6783,-3.9836,98.08,13,52,10.76,ML,1587060000
358,Bowen,-20.0167,148.2333,74.55,92,33,9.24,AU,1587060000
359,Loandjili,-4.7561,11.8578,79.29,86,100,4.99,CG,1587060000
360,Solomenskoye,44.2167,44.3528,43.88,67,50,8.25,RU,1587060000
361,Santa Elena,-2.2333,-80.85,82.49,74,63,7.47,EC,1587060000
362,Honiara,-9.4333,159.95,77.9,80,100,3.94,SB,1587060000
363,Baykit,61.67,96.37,35.92,84,100,2.95,RU,1587060000
364,Donskoye,45.4552,41.9741,45.3,62,56,11.77,RU,1587060000
365,Padang,-0.9492,100.3543,77.74,82,100,5.23,ID,1587060000
366,Changping,40.2186,116.2197,57.81,48,33,6.11,CN,1587060000
367,Koslan,63.4564,48.8989,33.89,84,92,12.57,RU,1587060000
368,Tasiilaq,65.6145,-37.6368,32.79,94,100,14.83,GL,1587060000
369,Carman,49.4992,-98.0016,37.87,64,78,10.09,CA,1587060000
370,Mukhen,48.1,136.1,40.33,61,46,6.26,RU,1587060000
371,Tonj,7.2737,28.6822,89.87,16,0,2.35,SS,1587060000
372,Mandi Bahauddin,32.5834,73.4843,77.34,33,90,4.34,PK,1587060000
373,Doha,25.2867,51.5333,74.62,62,0,2.86,QA,1587060000
374,Pemangkat,1.1667,108.9667,79.12,85,100,5.41,ID,1587060000
375,Araouane,18.9048,-3.5265,95.95,18,71,5.99,ML,1587060000
376,Laguna,38.421,-121.4238,67.86,57,83,5.01,US,1587060000
377,Aberystwyth,52.4155,-4.0829,59.79,74,86,9.42,GB,1587060000
378,Belyy Yar,53.6039,91.3903,45.79,58,82,4.99,RU,1587060000
379,Klaksvík,62.2266,-6.589,46.92,77,64,8.23,FO,1587060000
380,Awjilah,29.1081,21.2869,75.97,25,88,10.49,LY,1587060000
381,Ust'-Ilimsk,58.0006,102.6619,40.35,82,97,8.5,RU,1587060000
382,Great Yarmouth,52.6083,1.7305,55.29,81,50,10.92,GB,1587060000
383,Alugan,12.2188,125.4808,81.3,82,66,13.56,PH,1587060000
384,San Ignacio,17.1561,-89.0714,97.86,30,22,5.64,BZ,1587060000
385,Kasongo-Lunda,-6.4667,16.8167,76.3,73,83,1.41,CD,1587060000
386,Grants,35.1473,-107.8514,60.33,15,0,19.33,US,1587060000
387,Juneau,58.3019,-134.4197,45.27,79,100,3.65,US,1587060000
388,Chiradzulu,-15.6746,35.1407,68.67,56,14,6.76,MW,1587060000
389,Taitung City,22.7583,121.1444,71.17,53,43,2.01,TW,1587060000
390,Sobolevo,54.4299,31.8996,39.0,68,55,18.86,RU,1587060000
391,Maués,-3.3836,-57.7186,84.6,65,93,0.67,BR,1587060000
392,Kuusamo,65.9667,29.1833,30.83,94,100,13.42,FI,1587060000
393,Kidal,18.4411,1.4078,93.61,9,31,3.53,ML,1587060000
394,Verkhnyaya Inta,65.9811,60.3094,37.0,79,100,15.03,RU,1587060000
395,Huimanguillo,17.85,-93.3833,93.63,48,14,4.85,MX,1587060000
396,Ostrovnoy,68.0531,39.5131,32.67,96,99,19.84,RU,1587060000
397,La Ronge,55.1001,-105.2842,30.65,85,91,5.97,CA,1587060000
398,Māngrol,21.1167,70.1167,80.71,63,31,11.5,IN,1587060000
399,Talaya,61.3833,152.75,11.97,88,100,4.21,RU,1587060000
400,Genhe,50.7833,121.5167,36.43,51,7,1.48,CN,1587060000
401,Agios Vasileios,37.8,22.8,55.02,57,0,1.74,GR,1587060000
402,Samaro,25.2815,69.3965,87.35,31,81,12.64,PK,1587060000
403,Port-Gentil,-0.7193,8.7815,81.73,87,100,17.2,GA,1587060000
404,Harpenden,51.8168,-0.3571,59.68,71,67,7.54,GB,1587060000
405,São Filipe,14.8961,-24.4956,71.33,77,77,15.97,CV,1587060000
406,Namtsy,62.7161,129.6658,8.28,82,8,7.23,RU,1587060000
407,Bristol,41.8334,-71.1662,47.07,49,73,12.55,US,1587060000
408,Muros,42.7762,-9.0603,58.5,75,99,18.48,ES,1587060000
409,Nanortalik,60.1432,-45.2371,32.9,93,100,7.54,GL,1587060000
410,Maţāy,28.419,30.7792,70.25,44,14,23.4,EG,1587060000
411,Lachi,33.3833,71.3386,74.17,36,86,5.19,PK,1587060000
412,Gravdal,68.1214,13.5031,38.08,82,100,28.54,NO,1587060000
413,Varberg,57.1056,12.2508,46.36,72,6,7.31,SE,1587060000
414,Biltine,14.5333,20.9167,83.61,8,0,11.32,TD,1587060000
415,Tigil',57.8,158.6667,16.14,96,36,2.86,RU,1587060000
416,Gray,35.4167,-100.802,75.31,18,0,18.07,US,1587060000
417,Samaná,19.2056,-69.3369,83.34,65,28,11.36,DO,1587060000
418,Balkhash,46.844,74.9804,50.4,40,41,6.76,KZ,1587060000
419,Russell,32.3502,-85.1999,69.4,25,0,8.59,US,1587060000
420,Woodward,36.4337,-99.3904,70.21,36,58,25.59,US,1587060000
421,Umluj,25.0213,37.2685,76.73,47,10,4.79,SA,1587060000
422,Myitkyina,25.3833,97.4,70.27,75,68,2.64,MM,1587060000
423,Rio Grande,-32.035,-52.0986,70.86,72,61,11.23,BR,1587060000
424,Port Lincoln,-34.7333,135.8667,60.75,66,72,11.74,AU,1587060000
425,Nome,64.5011,-165.4064,34.3,97,100,8.75,US,1587060000
426,Kuala Terengganu,5.3302,103.1408,81.88,79,21,3.98,MY,1587060000
427,Kuytun,54.3419,101.5036,39.33,66,88,4.27,RU,1587060000
428,Jutaí,-5.1833,-68.9,91.47,47,18,4.14,BR,1587060000
429,Kimbe,-5.5502,150.1429,75.99,91,100,2.66,PG,1587060000
430,Karratha,-20.7377,116.8463,82.36,74,87,9.53,AU,1587060000
431,Phuket,8.0,98.25,83.77,70,64,4.0,TH,1587060000
432,Waren,53.5167,12.6833,49.44,68,83,6.55,DE,1587060000
433,High Prairie,55.4334,-116.4858,38.03,71,32,9.8,CA,1587060000
434,Tarskoye,42.967,44.7711,42.12,58,55,2.26,RU,1587060000
435,Bom Jesus,-9.0744,-44.3586,83.97,64,55,3.56,BR,1587060000
436,Leh,34.1667,77.5833,36.64,17,94,4.18,IN,1587060000
437,Acajutla,13.5928,-89.8275,89.19,54,26,10.65,SV,1587060000
438,Adrar,20.5022,-10.0711,95.45,17,80,10.16,MR,1587060000
439,Vestmannaeyjar,63.4427,-20.2734,42.85,76,51,10.67,IS,1587060000
440,Shar,49.5886,81.0453,44.6,56,0,3.27,KZ,1587060000
441,Ayagoz,47.9714,80.4392,41.32,52,5,13.06,KZ,1587060000
442,Kondoa,-4.9,35.7833,64.74,64,99,4.43,TZ,1587060000
443,Saint-François,46.4154,3.9054,65.16,65,70,2.98,FR,1587060000
444,Shahreza,32.0339,51.8794,56.25,29,52,8.12,IR,1587060000
445,Barabai,-2.5833,115.3833,75.54,93,88,2.04,ID,1587060000
446,Los Llanos de Aridane,28.6585,-17.9182,66.2,66,42,12.19,ES,1587060000
447,Krasnoborsk,61.5598,45.934,32.9,93,100,15.73,RU,1587060000
448,Waipawa,-41.4122,175.5153,59.5,78,43,11.83,NZ,1587060000
449,Road Town,18.4167,-64.6167,83.1,75,10,14.5,VG,1587060000
450,Darhan,49.4867,105.9228,45.21,39,0,2.77,MN,1587060000
451,Maputo,-25.9653,32.5892,74.44,87,32,8.08,MZ,1587060000
452,Half Moon Bay,37.4636,-122.4286,57.51,73,89,4.12,US,1587060000
453,Banamba,13.55,-7.45,94.24,25,25,9.86,ML,1587060000
454,Djibouti,11.5,42.5,80.15,68,68,12.97,DJ,1587060000
455,Pauini,-7.7136,-66.9764,83.8,72,77,3.29,BR,1587060000
456,Chinchani,19.8667,72.7,81.61,75,9,9.6,IN,1587060000
457,Kralendijk,12.15,-68.2667,84.78,78,2,15.12,BQ,1587060000
458,Progreso,21.2833,-89.6667,92.39,47,87,5.1,MX,1587060000
459,Takoradze,4.8845,-1.7554,82.99,81,38,12.41,GH,1587060000
460,Farafangana,-22.8167,47.8333,75.52,80,7,8.68,MG,1587060000
461,Ikwiriri,-7.9562,38.9716,75.9,95,100,3.98,TZ,1587060000
462,Skjervøy,70.0311,20.9714,37.36,77,18,6.6,NO,1587060000
463,Hamilton,39.1834,-84.5333,49.1,44,53,9.06,US,1587060000
464,Saint-Augustin,51.226,-58.6502,31.59,90,82,10.29,CA,1587060000
465,Muriti,-1.9833,32.9167,73.92,52,47,0.49,TZ,1587060000
466,Birao,10.2849,22.7882,85.24,10,1,5.93,CF,1587060000
467,Riachão do Dantas,-11.0689,-37.725,85.91,56,38,10.07,BR,1587060000
468,Ajdabiya,30.7554,20.2263,65.35,54,27,16.84,LY,1587060000
469,Batticaloa,7.7102,81.6924,81.41,78,71,4.47,LK,1587060000
470,Gannan,47.9147,123.5031,47.75,43,100,5.06,CN,1587060000
471,Porto-Novo,6.4965,2.6036,85.15,74,6,12.48,BJ,1587060000
472,Mount Gambier,-37.8333,140.7667,55.69,74,30,12.95,AU,1587060000
473,Ixtapa,20.7,-105.2,90.88,21,22,5.35,MX,1587060000
474,Khanbari,27.3747,87.2039,67.26,35,40,4.74,NP,1587060000
475,Tabou,4.423,-7.3528,83.55,78,67,5.5,CI,1587060000
476,Sept-Îles,50.2001,-66.3821,30.63,86,99,17.72,CA,1587060000
477,Tiznit Province,29.5833,-9.5,65.75,41,94,8.21,MA,1587060000
478,Quatre Cocos,-20.2078,57.7625,77.27,71,22,22.7,MU,1587060000
479,Kendari,-3.945,122.4989,77.32,89,56,3.22,ID,1587060000
480,Bozeman,45.6796,-111.0386,29.93,50,84,5.21,US,1587060000
481,Trivandrum,8.4833,76.9167,82.35,79,70,2.06,IN,1587060000
482,Bemidji,47.4736,-94.8803,38.62,54,54,11.21,US,1587060000
483,Chicama,-7.8447,-79.1469,82.4,49,1,11.01,PE,1587060000
484,Sioux Lookout,50.1001,-91.917,30.9,75,100,10.8,CA,1587060000
485,Dubbo,-32.25,148.6167,60.89,61,7,5.32,AU,1587060000
486,Gayny,60.3071,54.3241,35.11,80,100,9.08,RU,1587060000
487,Gubkinskiy,64.434,76.5026,30.25,97,100,5.3,RU,1587060000
488,Eureka,40.8021,-124.1637,64.58,57,1,3.62,US,1587060000
489,Meulaboh,4.1363,96.1285,79.36,81,100,3.38,ID,1587060000
490,Greater Sudbury,46.49,-80.99,37.08,59,67,12.53,CA,1587060000
491,Tulun,54.5611,100.5792,40.84,59,93,4.09,RU,1587060000
492,Williams Lake,52.1415,-122.1445,50.23,41,0,3.74,CA,1587060000
493,Chernyanka,50.9409,37.8069,46.81,69,100,17.72,RU,1587060000
494,Vagay,57.9375,69.0217,45.97,78,91,7.74,RU,1587060000
495,Tūkrah,32.5341,20.5791,58.32,73,0,16.33,LY,1587060000
496,Mbandaka,0.0487,18.2603,82.63,58,61,0.54,CD,1587060000
497,Khirkiya,22.1674,76.8605,93.45,14,56,8.46,IN,1587060000
498,Ségou,13.4317,-6.2157,98.55,22,7,13.35,ML,1587060000
499,Birjand,32.8663,59.2211,56.86,40,99,13.06,IR,1587060000
500,Samfya,-11.3649,29.5565,70.27,54,46,4.0,ZM,1587060000
501,Tapiramutá,-11.8472,-40.7914,76.39,61,68,5.61,BR,1587060000
502,Neiafu,-18.65,-173.9833,80.2,78,100,7.74,TO,1587060000
503,Soddy-Daisy,35.2359,-85.1908,63.27,36,0,4.43,US,1587060000
504,Touros,-5.1989,-35.4608,85.89,66,43,12.48,BR,1587060000
505,Wajima,37.4,136.9,46.4,67,0,13.65,JP,1587060000
506,Yaan,7.3833,8.5667,95.99,34,40,7.58,NG,1587060000
507,Villamontes,-21.25,-63.5,82.83,27,2,6.67,BO,1587060000
508,Inuvik,68.3499,-133.7218,37.35,97,100,9.75,CA,1587060000
509,Umm Kaddadah,13.6017,26.6876,78.55,10,0,12.53,SD,1587060000
510,Maceió,-9.6658,-35.7353,85.24,67,65,12.95,BR,1587060000
511,Kungurtug,50.5994,97.5228,39.94,52,100,2.06,RU,1587060000
512,Bangassou,4.7413,22.8184,79.88,33,59,0.6,CF,1587060000
513,Jaciara,-15.9653,-54.9683,79.52,71,86,4.85,BR,1587060000
514,Sambava,-14.2667,50.1667,75.34,88,75,7.65,MG,1587060000
515,Aketi,2.7388,23.7833,82.27,41,63,2.01,CD,1587060000
516,Qeshm,26.9581,56.2719,74.64,81,10,8.84,IR,1587060000
517,Kuandian,40.7286,124.7847,49.46,53,100,7.14,CN,1587060000
518,Minsk,53.9,27.5667,40.96,61,58,18.68,BY,1587060000
519,Ondangwa,-17.9167,15.95,88.56,25,13,2.33,NA,1587060000
520,Bonavista,48.6499,-53.1147,36.46,85,27,9.62,CA,1587060000
521,Listvyanskiy,54.4399,83.4984,36.79,81,25,6.02,RU,1587060000
522,Abu Kamal,34.4506,40.9171,74.3,24,86,7.47,SY,1587060000
523,Dingle,10.9995,122.6711,79.97,78,11,7.81,PH,1587060000
524,Viedma,-40.8135,-62.9967,80.98,25,65,21.16,AR,1587060000
525,Landeck,47.1301,10.5636,50.7,44,95,2.01,AT,1587060000
526,Zaragoza,41.6561,-0.8773,67.24,54,99,18.59,ES,1587060000
527,Port Hardy,50.6996,-127.4199,59.88,52,60,0.65,CA,1587060000
528,Ciudad Bolivar,8.1222,-63.5497,98.62,23,55,8.19,VE,1587060000
529,Angoche,-16.2325,39.9086,79.68,79,2,6.51,MZ,1587060000
530,Sernovodsk,43.3117,45.1594,43.0,64,68,4.43,RU,1587060000
531,Reconquista,-29.15,-59.65,76.24,24,0,4.14,AR,1587060000
532,Jevnaker,60.2414,10.385,45.21,56,83,3.83,NO,1587060000
533,Poum,-20.2333,164.0167,78.03,80,6,13.78,NC,1587060000
534,Moerai,-22.4333,-151.3333,77.92,63,64,10.33,PF,1587060000
535,Picos,-7.0769,-41.4669,83.52,71,66,4.79,BR,1587060000
536,Yangi Marg`ilon,40.4272,71.7189,59.13,36,30,3.78,UZ,1587060000
537,‘Āhuimanu,21.4447,-157.8378,74.03,71,4,15.52,US,1587060000
538,Eyl,7.9803,49.8164,84.24,75,5,11.65,SO,1587060000
539,Praia da Vitória,38.7333,-27.0667,60.76,78,75,19.3,PT,1587060000
540,Les Cayes,18.2,-73.75,81.88,71,8,6.44,HT,1587060000
541,Gimli,50.6336,-96.9907,36.23,72,90,11.07,CA,1587060000
542,Alexandria,31.2156,29.9553,63.25,73,21,18.19,EG,1587060000
543,Goma,-1.6792,29.2228,66.99,50,69,1.63,CD,1587060000
544,Inhambane,-23.865,35.3833,79.88,87,18,7.65,MZ,1587060000
545,Yazman,29.1212,71.7446,91.56,16,100,6.4,PK,1587060000
546,Kasane,-17.8167,25.15,73.17,41,69,4.41,BW,1587060000
547,Williston,48.147,-103.618,35.98,56,37,9.89,US,1587060000
548,Novo Aripuanã,-5.1206,-60.3797,82.76,77,94,3.38,BR,1587060000
549,Gagino,55.2314,45.0339,39.0,76,99,14.94,RU,1587060000
550,Ulkan,57.243,107.3223,36.03,75,26,0.2,RU,1587060000
551,Nyzhni Sirohozy,46.8484,34.3804,48.52,59,53,19.28,UA,1587060000
552,Codrington,-38.2667,141.9667,55.8,76,63,20.94,AU,1587060000
553,Ninghai,29.2892,121.4247,64.29,88,5,5.95,CN,1587060000
554,Oranjemund,-28.55,16.4333,59.68,76,69,13.76,NA,1587060000
555,Weiser,44.251,-116.9693,51.66,33,0,8.21,US,1587060000
556,Sharan,54.8167,54.0,40.21,66,100,10.11,RU,1587060000
557,The Pas,53.8251,-101.2541,31.17,91,58,8.57,CA,1587060000
558,Mount Isa,-20.7333,139.5,77.5,25,0,8.5,AU,1587060000
559,Tual,-5.6667,132.75,83.55,75,95,5.99,ID,1587060000
560,Nālūt,30.3333,10.85,82.02,25,56,8.86,LY,1587060000
561,Namatanai,-3.6667,152.4333,81.61,73,100,5.61,PG,1587060000
562,Vila Franca do Campo,37.7167,-25.4333,60.4,76,27,20.56,PT,1587060000
563,Port Hawkesbury,45.6169,-61.3485,36.57,78,49,12.8,CA,1587060000
564,Marathon,44.9,-89.7668,34.95,80,1,11.92,US,1587060000
565,High Level,58.5169,-117.136,41.27,70,68,3.87,CA,1587060000
566,Blagoyevo,63.3667,47.9167,34.27,84,88,12.88,RU,1587060000
567,Abu Dhabi,24.4667,54.3667,76.96,83,6,11.81,AE,1587060000
568,Devarkonda,16.7,78.9333,85.08,32,6,6.58,IN,1587060000
569,Kamina,-8.7386,24.9906,68.76,68,92,1.81,CD,1587060000
570,Salym,60.0625,71.4789,41.5,82,69,7.87,RU,1587060000
571,Kristinestad,62.2743,21.376,37.09,80,15,12.73,FI,1587060000
572,Coleraine,55.1333,-6.6667,56.48,79,75,9.08,GB,1587060000
573,Vilhena,-12.7406,-60.1458,82.0,47,27,5.39,BR,1587060000
574,Buncrana,55.1333,-7.45,55.24,77,65,9.6,IE,1587060000
575,Siderno,38.2779,16.302,55.8,66,83,4.52,IT,1587060000
576,Bathsheba,13.2167,-59.5167,85.15,72,65,15.37,BB,1587060000
577,Burgeo,47.6167,-57.6152,34.75,84,75,22.95,CA,1587060000
578,Kikwit,-5.041,18.8162,77.76,73,100,3.49,CD,1587060000
579,Beloha,-25.1667,45.05,78.15,67,1,11.16,MG,1587060000
580,Shunyi,40.125,116.6453,57.06,53,46,6.71,CN,1587060000
581,Jingdezhen,29.2947,117.2079,66.63,73,0,2.53,CN,1587060000
